test,spec,area,subL,gateL,dyn,pCL2,pAll
cacheline128,specbzip.txt,49.4735,1.1997795,.01079706,.5639822,7.75802,7.97557
cacheline128,spechmmer.txt,49.4735,1.1997795,.01079706,.5927142,7.75802,7.97557
cacheline128,speclibm.txt,49.4735,1.1997795,.01079706,.3548829,7.75802,7.97557
cacheline128,specmcf.txt,49.4735,1.1997795,.01079706,.5773352,7.75802,7.97557
cacheline128,specsjeng.txt,49.4735,1.1997795,.01079706,.2867853,7.75802,7.97557
cacheline32,specbzip.txt,11.51330,.79812864,.005153027,.14025898,1.162398,1.37995
cacheline32,spechmmer.txt,11.51330,.79812864,.005153027,.19039331,1.162398,1.37995
cacheline32,speclibm.txt,11.51330,.79812864,.005153027,.05541949,1.162398,1.37995
cacheline32,specmcf.txt,11.51330,.79812864,.005153027,.17738042,1.162398,1.37995
cacheline32,specsjeng.txt,11.51330,.79812864,.005153027,.03726489,1.162398,1.37995
cacheline64,specbzip.txt,14.22863,1.10272789,.007834414,.3067047,2.494852,2.7124
cacheline64,spechmmer.txt,14.22863,1.10272789,.007834414,.36259645,2.494852,2.7124
cacheline64,speclibm.txt,14.22863,1.10272789,.007834414,.1568485,2.494852,2.7124
cacheline64,specmcf.txt,14.22863,1.10272789,.007834414,.3183987,2.494852,2.7124
cacheline64,specsjeng.txt,14.22863,1.10272789,.007834414,.1079606,2.494852,2.7124
l1d128,specbzip.txt,16.88353,1.38591789,.010263354,.4006953,2.706222,2.92377
l1d128,spechmmer.txt,16.88353,1.38591789,.010263354,.468478869,2.706222,2.92377
l1d128,speclibm.txt,16.88353,1.38591789,.010263354,.2008132,2.706222,2.92377
l1d128,specmcf.txt,16.88353,1.38591789,.010263354,.4044775,2.706222,2.92377
l1d128,specsjeng.txt,16.88353,1.38591789,.010263354,.1388443,2.706222,2.92377
l1d32,specbzip.txt,11.59764,.70149189,.004183904,.1004548,2.017732,2.23528
l1d32,spechmmer.txt,11.59764,.70149189,.004183904,.11691474,2.017732,2.23528
l1d32,speclibm.txt,11.59764,.70149189,.004183904,.0574029,2.017732,2.23528
l1d32,specmcf.txt,11.59764,.70149189,.004183904,.1257265,2.017732,2.23528
l1d32,specsjeng.txt,11.59764,.70149189,.004183904,.0423844,2.017732,2.23528
l1d64,specbzip.txt,14.22863,1.10272789,.007834414,.3067047,2.494852,2.7124
l1d64,spechmmer.txt,14.22863,1.10272789,.007834414,.36259645,2.494852,2.7124
l1d64,speclibm.txt,14.22863,1.10272789,.007834414,.1568485,2.494852,2.7124
l1d64,specmcf.txt,14.22863,1.10272789,.007834414,.3183987,2.494852,2.7124
l1d64,specsjeng.txt,14.22863,1.10272789,.007834414,.1079606,2.494852,2.7124
l1dassoc1,specbzip.txt,14.18885,1.10049789,.007821214,.3048628,2.492292,2.70984
l1dassoc1,speclibm.txt,14.18885,1.10049789,.007821214,.1559013,2.492292,2.70984
l1dassoc1,specmcf.txt,14.18885,1.10049789,.007821214,.3169604,2.492292,2.70984
l1dassoc1,specshmmer.txt,14.18885,1.10049789,.007821214,.3572692,2.492292,2.70984
l1dassoc1,specsjeng.txt,14.18885,1.10049789,.007821214,.1075958,2.492292,2.70984
l1dassoc2,specbzip.txt,14.22863,1.10272789,.007834414,.3067047,2.494852,2.7124
l1dassoc2,speclibm.txt,14.22863,1.10272789,.007834414,.1568485,2.494852,2.7124
l1dassoc2,specmcf.txt,14.22863,1.10272789,.007834414,.3183987,2.494852,2.7124
l1dassoc2,specshmmer.txt,14.22863,1.10272789,.007834414,.36259942,2.494852,2.7124
l1dassoc2,specsjeng.txt,14.22863,1.10272789,.007834414,.1079606,2.494852,2.7124
l1dassoc4,specbzip.txt,13.09206,.83024989,.005219104,.3057201,2.502302,2.71985
l1dassoc4,speclibm.txt,13.09206,.83024989,.005219104,.1580465,2.502302,2.71985
l1dassoc4,specmcf.txt,13.09206,.83024989,.005219104,.3239725,2.502302,2.71985
l1dassoc4,specshmmer.txt,13.09206,.83024989,.005219104,.35787654,2.502302,2.71985
l1dassoc4,specsjeng.txt,13.09206,.83024989,.005219104,.1166984,2.502302,2.71985
l1i128,specbzip.txt,19.0340,1.78715789,.013913904,.3066484,3.343622,3.56117
l1i128,spechmmer.txt,19.0340,1.78715789,.013913904,.3626223,3.343622,3.56117
l1i128,speclibm.txt,19.0340,1.78715789,.013913904,.1584096,3.343622,3.56117
l1i128,specmcf.txt,19.0340,1.78715789,.013913904,.33133486,3.343622,3.56117
l1i128,specsjeng.txt,19.0340,1.78715789,.013913904,.1079624,3.343622,3.56117
l1i32,specbzip.txt,14.22863,1.10272789,.007834414,.3067047,2.494852,2.7124
l1i32,spechmmer.txt,14.22863,1.10272789,.007834414,.36259645,2.494852,2.7124
l1i32,speclibm.txt,14.22863,1.10272789,.007834414,.1584066,2.494852,2.7124
l1i32,specmcf.txt,14.22863,1.10272789,.007834414,.3183987,2.494852,2.7124
l1i32,specsjeng.txt,14.22863,1.10272789,.007834414,.1079606,2.494852,2.7124
l1i64,specbzip.txt,16.62045,1.50396789,.011484904,.3066672,3.089292,3.30684
l1i64,spechmmer.txt,16.62045,1.50396789,.011484904,.36262785,3.089292,3.30684
l1i64,speclibm.txt,16.62045,1.50396789,.011484904,.1584089,3.089292,3.30684
l1i64,specmcf.txt,16.62045,1.50396789,.011484904,.33133322,3.089292,3.30684
l1i64,specsjeng.txt,16.62045,1.50396789,.011484904,.1079620,3.089292,3.30684
l1iassoc1,specbzip.txt,14.19542,1.10240789,.007830204,.3066443,2.465032,2.68258
l1iassoc1,spechmmer.txt,14.19542,1.10240789,.007830204,.3417545,2.465032,2.68258
l1iassoc1,speclibm.txt,14.19542,1.10240789,.007830204,.1565033,2.465032,2.68258
l1iassoc1,specmcf.txt,14.19542,1.10240789,.007830204,.3109173,2.465032,2.68258
l1iassoc1,specsjeng.txt,14.19542,1.10240789,.007830204,.1079365,2.465032,2.68258
l1iassoc2,specbzip.txt,14.22863,1.10272789,.007834414,.3067047,2.494852,2.7124
l1iassoc2,spechmmer.txt,14.22863,1.10272789,.007834414,.36259645,2.494852,2.7124
l1iassoc2,speclibm.txt,14.22863,1.10272789,.007834414,.1568485,2.494852,2.7124
l1iassoc2,specmcf.txt,14.22863,1.10272789,.007834414,.3183987,2.494852,2.7124
l1iassoc2,specsjeng.txt,14.22863,1.10272789,.007834414,.1079606,2.494852,2.7124
l1iassoc4,specbzip.txt,14.99199,1.18125789,.008555664,.3066859,2.821032,3.03858
l1iassoc4,spechmmer.txt,14.99199,1.18125789,.008555664,.36262164,2.821032,3.03858
l1iassoc4,speclibm.txt,14.99199,1.18125789,.008555664,.1568489,2.821032,3.03858
l1iassoc4,specmcf.txt,14.99199,1.18125789,.008555664,.3313357,2.821032,3.03858
l1iassoc4,specsjeng.txt,14.99199,1.18125789,.008555664,.1079592,2.821032,3.03858
l21024,specbzip.txt,11.39063,1.10078925,.007659924,.2976141,2.390854,2.6084
l21024,spechmmer.txt,11.39063,1.10078925,.007659924,.36200765,2.390854,2.6084
l21024,speclibm.txt,11.39063,1.10078925,.007659924,.15401721,2.390854,2.6084
l21024,specmcf.txt,11.39063,1.10078925,.007659924,.31248518,2.390854,2.6084
l21024,specsjeng.txt,11.39063,1.10078925,.007659924,.1050446,2.390854,2.6084
l24096,specbzip.txt,20.54723,1.10710636,.00836659,.3165472,2.615052,2.8326
l24096,spechmmer.txt,20.54723,1.10710636,.00836659,.36327938,2.615052,2.8326
l24096,speclibm.txt,20.54723,1.10710636,.00836659,.1594189,2.615052,2.8326
l24096,specmcf.txt,20.54723,1.10710636,.00836659,.3240041,2.615052,2.8326
l24096,specsjeng.txt,20.54723,1.10710636,.00836659,.1113081,2.615052,2.8326
l2512,specbzip.txt,9.35038,1.09948306,.007464225,.28640243,2.323864,2.54141
l2512,spechmmer.txt,9.35038,1.09948306,.007464225,.36162794,2.323864,2.54141
l2512,speclibm.txt,9.35038,1.09948306,.007464225,.15278306,2.323864,2.54141
l2512,specmcf.txt,9.35038,1.09948306,.007464225,.30804364,2.323864,2.54141
l2512,specsjeng.txt,9.35038,1.09948306,.007464225,.10321707,2.323864,2.54141
l2assoc1,specbzip.txt,14.70216,1.10260747,.007819346,.3025786,2.492643,2.71019
l2assoc1,spechmmer.txt,14.70216,1.10260747,.007819346,.3625572,2.492643,2.71019
l2assoc1,speclibm.txt,14.70216,1.10260747,.007819346,.1565437,2.492643,2.71019
l2assoc1,specmcf.txt,14.70216,1.10260747,.007819346,.3180969,2.492643,2.71019
l2assoc1,specsjeng.txt,14.70216,1.10260747,.007819346,.1076153,2.492643,2.71019
l2assoc2,specbzip.txt,14.91574,1.10265773,.007828933,.3053982,2.49418,2.71172
l2assoc2,spechmmer.txt,14.91574,1.10265773,.007828933,.36257967,2.49418,2.71172
l2assoc2,speclibm.txt,14.91574,1.10265773,.007828933,.1567174,2.49418,2.71172
l2assoc2,specmcf.txt,14.91074,1.1026776,.007831068,.36258223,2.494269,2.71181
l2assoc2,specsjeng.txt,14.91574,1.10265773,.007828933,.1077860,2.49418,2.71172
l2assoc4,specbzip.txt,14.91074,1.1026776,.007831068,.3067829,2.494269,2.71181
l2assoc4,spechmmer.txt,14.91074,1.1026776,.007831068,.36258223,2.494269,2.71181
l2assoc4,speclibm.txt,14.91074,1.1026776,.007831068,.1567374,2.494269,2.71181
l2assoc4,specmcf.txt,14.91074,1.1026776,.007831068,.3183528,2.494269,2.71181
l2assoc4,specsjeng.txt,14.91074,1.1026776,.007831068,.1078280,2.494269,2.71181
